Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2016-06-09,1238.1,1226.25,1226.25,1180.05,1187,1185.5,1191.98,6370402,7593381454,169983
2016-06-10,1185.5,1175.4,1190,1170.1,1181,1180.6,1180.3,3191978,3767482481,112385
2016-06-13,1180.6,1176.8,1184.9,1166,1180,1180.9,1176.48,2643361,3109855383,92827
2016-06-14,1180.9,1182.4,1182.4,1167.25,1176,1175,1173.27,1470364,1725136290,76094
2016-06-15,1175,1183.7,1192.65,1179.05,1189.55,1189.95,1184.11,3355786,3973610805,97170
2016-06-16,1189.95,1189.5,1189.5,1170.1,1186.3,1186,1179.61,2651282,3127477049,96066
2016-06-17,1186,1189,1192.75,1175.1,1179.45,1179.5,1179.51,4257541,5021828421,84979
2016-06-20,1179.5,1181,1211.8,1179.7,1207,1208.75,1199.39,3114783,3735847754,84105
2016-06-21,1208.75,1211.2,1214.8,1195.65,1206.5,1206.1,1204.61,2380862,2868013851,57770
2016-06-22,1206.1,1204,1211.95,1188.15,1197.35,1199.5,1199.49,1515629,1817988769,52549
2016-06-23,1199.5,1197.3,1214.85,1193.35,1210.75,1211.6,1203.62,1914313,2304105635,102672
2016-06-24,1211.6,1188,1199,1160,1191.2,1194.55,1187.02,3904174,4634322656,80878
2016-06-27,1194.55,1172.05,1183.2,1160,1165.05,1166.2,1170.54,2791889,3268027324,95815
2016-06-28,1166.2,1162.8,1172.5,1155.1,1158.95,1159.15,1161.08,3827987,4444586239,140277
2016-06-29,1159.15,1169,1179.9,1160.2,1177,1176.85,1169.63,2729575,3192594353,91172
2016-06-30,1176.85,1180.5,1184.5,1167.95,1171.9,1170.8,1173.73,4673112,5484981719,117143
2016-07-01,1170.8,1180,1180,1170.1,1171.05,1172.4,1174.4,1995956,2344042645,83613
2016-07-04,1172.4,1176.2,1194.6,1176.2,1185,1183.95,1186.25,2690661,3191792275,97976
2016-07-05,1183.95,1185,1187.5,1171.05,1174,1175.45,1176.77,1798208,2116084018,61330
2016-07-07,1175.45,1168.7,1171,1155,1160,1157.25,1159.93,2977438,3453631860,131833
2016-07-08,1157.25,1163,1167,1153.5,1161.95,1158.2,1161.28,2775824,3223520903,123336
2016-07-11,1158.2,1167.4,1178.7,1160,1173.75,1175.05,1169.68,3334441,3900242644,97975
2016-07-12,1175.05,1180,1180.35,1168,1176,1176.55,1174.18,3098684,3638403711,90016
2016-07-13,1176.55,1180,1195.8,1175.2,1192.3,1193.8,1186.15,2637710,3128727246,73207
2016-07-14,1193.8,1195,1196.05,1164,1177.65,1176.25,1179.62,3706664,4372439897,102739
2016-07-15,1176.25,1189.5,1189.9,1052,1070.8,1072.55,1085.37,30742063,33366591098,707440
2016-07-18,1072.55,1077.25,1084.9,1055.15,1081,1081.95,1072,7166412,7682361812,240953
2016-07-19,1081.95,1088.6,1090,1074.1,1088,1086.95,1082.75,5202322,5632801599,178219
2016-07-20,1086.95,1070,1089.9,1070,1083.5,1083.1,1081.83,4911448,5313369529,104095
2016-07-21,1083.1,1079,1087.2,1075.6,1080.1,1079.9,1079.65,4334001,4679193731,130542
2016-07-22,1079.9,1070,1079.9,1066.7,1074.5,1072.45,1070.52,4693269,5024244656,93296
2016-07-25,1072.45,1063,1083.25,1063,1079.4,1080.85,1075.57,4234776,4554802179,97327
2016-07-26,1080.85,1070.35,1089.9,1070.35,1086.05,1088.7,1085.65,3594805,3902694860,60846
2016-07-27,1088.7,1084.7,1096.5,1078.55,1084,1085.35,1085.13,3715910,4032229606,65130
2016-07-28,1085.35,1085.4,1086.95,1074.05,1077,1077.5,1078.63,5629281,6071912465,84046
2016-07-29,1077.5,1072.6,1076.75,1066.5,1075,1073.85,1073.14,4078392,4376687908,96309
2016-08-01,1073.85,1071.5,1087.85,1068.35,1086,1085.25,1078.19,4548331,4903963865,84226
2016-08-02,1085.25,1079.9,1085,1075,1085,1083.8,1079.83,3411251,3683561727,74776
2016-08-03,1083.8,1085.65,1086.5,1070.3,1085,1084.9,1078.92,3606730,3891373601,93756
2016-08-04,1084.9,1086.4,1086.9,1070.05,1071.45,1071.8,1074.9,2118639,2277331567,64592
2016-08-05,1071.8,1072,1073.45,1060,1065.05,1068,1066.86,2804984,2992534286,98969
2016-08-08,1068,1069,1081,1062.55,1074.4,1078.7,1074.88,2321532,2495374580,86035
2016-08-09,1078.7,1077,1084.5,1071.5,1080.4,1083.4,1079.81,3596332,3883365580,79692
2016-08-10,1083.4,1076,1087.9,1075.2,1079.95,1082.35,1080.96,2788227,3013968179,72781
2016-08-11,1082.35,1081.7,1095,1075.25,1078.75,1077.35,1081.51,2519276,2724633995,68282
2016-08-12,1077.35,1075.05,1078.8,1060,1061.6,1062.55,1069.52,3724964,3983911355,116371
2016-08-16,1062.55,1042,1058.05,1028,1052.2,1051.8,1046.71,8214704,8598374852,177774
2016-08-17,1051.8,1049.95,1052.65,1030.5,1034.4,1033.3,1037.78,3299658,3424334724,134252
2016-08-18,1033.3,1036.5,1039.1,1021.5,1023,1023.4,1028.77,4217000,4338343575,113563
2016-08-19,1023.4,1030,1039,1018.45,1022.15,1021.3,1026.81,2843008,2919222195,132229
2016-08-22,1021.3,1018,1030,1009.1,1015.9,1015.45,1014.33,5126759,5200200616,184159
2016-08-23,1015.45,1020.1,1042,1020.1,1039.95,1039.65,1033.85,3703069,3828422615,135014
2016-08-24,1039.65,1047,1062.05,1047,1055.15,1057.4,1056,3064983,3236633964,118286
2016-08-25,1057.4,1055,1057.6,1032.1,1036.9,1036.15,1041.32,2398281,2497389786,67028
2016-08-26,1036.15,1036,1046,1017.05,1019.7,1020.25,1028.03,3440527,3536957213,144271
2016-08-29,1020.25,1017.6,1030,1011,1029.05,1022.8,1018.39,2610141,2658142523,137001
2016-08-30,1022.8,1032.45,1045,1025,1040.25,1040.4,1035.23,2187719,2264785516,76218
2016-08-31,1040.4,1037.1,1045.75,1027.8,1033.85,1035.85,1037.31,5569907,5777732671,131672
2016-09-01,1035.85,1038,1040.45,1032,1037,1037.55,1036.28,1438913,1491112695,48366
2016-09-02,1037.55,1039.05,1040,1026.2,1030,1031.85,1032.75,1666296,1720872550,67456
2016-09-06,1031.85,1038.25,1048.9,1035.6,1046,1045,1044.9,4107522,4291968460,105919
2016-09-07,1045,1048,1059,1044,1049.85,1054.35,1052.97,3712735,3909393157,103327
2016-09-08,1054.35,1045,1045,1024,1038.75,1037.65,1033.47,4546387,4698542573,108004
2016-09-09,1037.65,1037,1041,1026.55,1036,1035.5,1033.89,2526719,2612343990,96783
2016-09-12,1035.5,1025.25,1058,1025.25,1055,1054,1052.85,3101548,3265470607,104493
2016-09-14,1054,1053.95,1057.8,1040.65,1044.95,1045.6,1051.8,2576209,2709659227,79152
2016-09-15,1045.6,1045.6,1046.8,1035.35,1044.9,1042.2,1039.1,2350861,2442780874,53602
2016-09-16,1042.2,1049,1064.5,1038.1,1055.65,1060.15,1054.92,4974692,5247899728,98707
2016-09-19,1060.15,1046,1068.9,1041.35,1060.6,1061.2,1061.6,2904577,3083488888,70094
2016-09-20,1061.2,1053.3,1057.15,1045.75,1052,1050.15,1049.18,2107002,2210615656,90429
2016-09-21,1050.15,1054,1061.25,1051.05,1057.4,1055.75,1056.37,2115766,2235039198,68813
2016-09-22,1055.75,1059,1061,1052,1061,1058.8,1057.37,1814757,1918861654,80240
2016-09-23,1058.8,1057,1058.8,1040,1041,1042.55,1048.92,2602647,2729960271,57629
2016-09-26,1042.55,1042.75,1044,1031,1036.05,1035.9,1035.98,3185899,3300515054,80536
2016-09-27,1035.9,1035.05,1049.9,1033.35,1043,1039.75,1042.58,3262830,3401748998,62988
2016-09-28,1039.75,1040,1042.3,1033.25,1037.9,1038.95,1037.88,2717354,2820298182,45609
2016-09-29,1038.95,1044.95,1044.95,1024,1035.2,1029.2,1031.41,4451319,4591119674,79293
2016-09-30,1029.2,1031.1,1043.9,1031.1,1033.8,1036.05,1039.62,3251177,3379989891,66361
2016-10-03,1036.05,1035.5,1040,1026.1,1039.55,1038.1,1034.46,1828080,1891074154,64407
2016-10-04,1038.1,1040,1051.4,1038.3,1049,1049.2,1044.6,2533293,2646274899,53736
2016-10-05,1049.2,1049.2,1049.85,1037,1040.7,1041.5,1041.28,1153787,1201412564,49296
2016-10-06,1041.5,1045,1045,1025.95,1027,1027.4,1029.49,1860941,1915811566,82909
2016-10-07,1027.4,1029.95,1033.8,1010.1,1011,1012.55,1016.9,3144279,3197411006,134156
2016-10-10,1012.55,1017,1031.75,1010,1031,1029.95,1023.64,2706585,2770559297,64262
2016-10-13,1029.95,1021.4,1058,1021.4,1050,1052.35,1048.53,4889345,5126616164,144394
2016-10-14,1052.35,1052.9,1082.7,996.25,1025.7,1027.15,1035.98,16730845,17332866114,374818
2016-10-17,1027.15,1034.95,1041.8,1017.35,1025.15,1022.4,1028.56,4007429,4121892313,74006
2016-10-18,1022.4,1030,1040.5,1027.3,1039,1039.05,1033.41,3194067,3300781474,64906
2016-10-19,1039.05,1042,1045.7,1036,1041.4,1041.8,1042.05,1754918,1828720112,46788
2016-10-20,1041.8,1044.75,1050.7,1033.8,1038,1036.65,1039.45,1767745,1837490210,53760
2016-10-21,1036.65,1035,1041,1022.5,1037.5,1038.3,1036.08,1931810,2001515443,59548
2016-10-24,1038.3,1037.5,1042.7,1025.5,1027.6,1027.1,1030.31,1451487,1495478010,44094
2016-10-25,1027.1,1036.5,1038.9,1015.2,1017.35,1017.2,1022.44,2818007,2881233443,80752
2016-10-26,1017.2,1017,1019.85,1009.3,1013.2,1014.2,1013.36,1387608,1406142594,49773
2016-10-27,1014.2,1017.9,1017.95,1001.1,1004.5,1003.5,1007.07,3613895,3639452891,103905
2016-10-28,1003.5,1005.2,1010,993.15,997,997.5,998.54,2920353,2916078942,76622
2016-10-30,997.5,1001,1005.95,999.8,1002.4,1002.1,1002.14,319036,319718260.7,14192
2016-11-01,1002.1,1006.8,1006.8,986.4,990.4,989.45,992.37,3166399,3142237325,126304
2016-11-02,989.45,984.8,987.5,980,980.5,981.05,982.57,2688597,2641723819,105692
2016-11-03,981.05,981.05,982,965.1,968,966.85,970.25,2612554,2534834117,132420
2016-11-04,966.85,967,979.2,961,971,971,970.61,3002774,2914529709,123012
2016-11-07,971,985,986,975,978.95,977.95,980.47,2268836,2224535618,62718
2016-11-08,977.95,986.9,987.75,970.6,982.6,982.6,979.56,2630554,2576778481,75639
2016-11-09,982.6,930,974.6,901,963,958.3,950.89,6382079,6068657393,150348
2016-11-10,958.3,962.5,962.5,935,946,939.4,944.17,3643665,3440236246,110042
2016-11-11,939.4,940,945,918.7,921.9,921.55,927.27,3548391,3290317525,91104
2016-11-15,921.55,924,939.95,908.55,917.6,923.55,924.7,4617925,4270173169,290307
2016-11-16,923.55,930,956.85,928.55,935.4,940.9,946.16,6111308,5782269259,177387
2016-11-17,940.9,934.25,949,926.4,928,929.8,938.14,2853365,2676845191,117685
2016-11-18,929.8,930,933.25,917.5,918,920,925.99,3020114,2796602729,121639
2016-11-21,920,926.9,926.9,906.95,914,911.1,918.76,3970284,3647743382,129057
2016-11-22,911.1,916.9,928.65,911.65,914.85,914.2,918.14,2741563,2517129608,106048
2016-11-23,914.2,922.1,922.9,912.45,921,920.25,918.81,4125893,3790922746,130883
